// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea
// command took 1,21s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea
// command took 11,06s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea
// command took 2,35s and exited with 0
// ***** Done, took 00:00:14 (14.69 sec)   *****
// Found 2 benchmarks:
//   Bench.MyListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)
//   Bench.NormalListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)

// **************************
// Benchmark: Bench.MyListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "375eec8e-86f4-4115-ae84-d39374e185ea.dll" --benchmarkName "MyLINQ.Bench.MyListAdd" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.8 (6.0.822.36306), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-JSAXDK(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 247800.00 ns, 247.8000 us/op
WorkloadWarmup   7: 1 op, 8300.00 ns, 8.3000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadActual   2: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadActual   3: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual   4: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual   5: 1 op, 9700.00 ns, 9.7000 us/op
WorkloadActual   6: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual   7: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadActual   8: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual   9: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  10: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadActual  11: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadActual  12: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadActual  13: 1 op, 9000.00 ns, 9.0000 us/op
WorkloadActual  14: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadActual  15: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadActual  16: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  17: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadActual  18: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadActual  19: 1 op, 9400.00 ns, 9.4000 us/op
WorkloadActual  20: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  21: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadActual  22: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  23: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  24: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  25: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadActual  26: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadActual  27: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  28: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  29: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  30: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  31: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadActual  32: 1 op, 16600.00 ns, 16.6000 us/op
WorkloadActual  33: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  34: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  35: 1 op, 10700.00 ns, 10.7000 us/op
WorkloadActual  36: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  37: 1 op, 10800.00 ns, 10.8000 us/op
WorkloadActual  38: 1 op, 72400.00 ns, 72.4000 us/op
WorkloadActual  39: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual  40: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  41: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadActual  42: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  43: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadActual  44: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  45: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  46: 1 op, 9900.00 ns, 9.9000 us/op
WorkloadActual  47: 1 op, 10600.00 ns, 10.6000 us/op
WorkloadActual  48: 1 op, 13200.00 ns, 13.2000 us/op
WorkloadActual  49: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  50: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  51: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  52: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  53: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  54: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadActual  55: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  56: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  57: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadActual  58: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadActual  59: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadActual  60: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  61: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadActual  62: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  63: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  64: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  65: 1 op, 10500.00 ns, 10.5000 us/op
WorkloadActual  66: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  67: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  68: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  69: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  70: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  71: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  72: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  73: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  74: 1 op, 10500.00 ns, 10.5000 us/op
WorkloadActual  75: 1 op, 9400.00 ns, 9.4000 us/op
WorkloadActual  76: 1 op, 9400.00 ns, 9.4000 us/op
WorkloadActual  77: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  78: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  79: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  80: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadActual  81: 1 op, 10700.00 ns, 10.7000 us/op
WorkloadActual  82: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  83: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  84: 1 op, 10500.00 ns, 10.5000 us/op
WorkloadActual  85: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadActual  86: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  87: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadActual  88: 1 op, 9000.00 ns, 9.0000 us/op
WorkloadActual  89: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  90: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  91: 1 op, 8900.00 ns, 8.9000 us/op
WorkloadActual  92: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  93: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  94: 1 op, 9300.00 ns, 9.3000 us/op
WorkloadActual  95: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadActual  96: 1 op, 10300.00 ns, 10.3000 us/op
WorkloadActual  97: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadActual  98: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  99: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadActual  100: 1 op, 9700.00 ns, 9.7000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadResult   2: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadResult   3: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult   4: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult   5: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadResult   6: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult   7: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadResult   8: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult   9: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  10: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadResult  11: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadResult  12: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadResult  13: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadResult  14: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadResult  15: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadResult  16: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult  17: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadResult  18: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadResult  19: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadResult  20: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  21: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadResult  22: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  23: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  24: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  25: 1 op, 8300.00 ns, 8.3000 us/op
WorkloadResult  26: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadResult  27: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult  28: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  29: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  30: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  31: 1 op, 10700.00 ns, 10.7000 us/op
WorkloadResult  32: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  33: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  34: 1 op, 10500.00 ns, 10.5000 us/op
WorkloadResult  35: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult  36: 1 op, 10600.00 ns, 10.6000 us/op
WorkloadResult  37: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadResult  38: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadResult  39: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  40: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  41: 1 op, 10800.00 ns, 10.8000 us/op
WorkloadResult  42: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  43: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  44: 1 op, 9700.00 ns, 9.7000 us/op
WorkloadResult  45: 1 op, 10400.00 ns, 10.4000 us/op
WorkloadResult  46: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadResult  47: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  48: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  49: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  50: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  51: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  52: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadResult  53: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  54: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  55: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadResult  56: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadResult  57: 1 op, 10700.00 ns, 10.7000 us/op
WorkloadResult  58: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult  59: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadResult  60: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  61: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  62: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  63: 1 op, 10300.00 ns, 10.3000 us/op
WorkloadResult  64: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  65: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  66: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  67: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult  68: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  69: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  70: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  71: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  72: 1 op, 10300.00 ns, 10.3000 us/op
WorkloadResult  73: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadResult  74: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadResult  75: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  76: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  77: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  78: 1 op, 9600.00 ns, 9.6000 us/op
WorkloadResult  79: 1 op, 10500.00 ns, 10.5000 us/op
WorkloadResult  80: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  81: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  82: 1 op, 10300.00 ns, 10.3000 us/op
WorkloadResult  83: 1 op, 8900.00 ns, 8.9000 us/op
WorkloadResult  84: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  85: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadResult  86: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  87: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  88: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadResult  89: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  90: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadResult  91: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadResult  92: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  93: 1 op, 10100.00 ns, 10.1000 us/op
WorkloadResult  94: 1 op, 9300.00 ns, 9.3000 us/op
WorkloadResult  95: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadResult  96: 1 op, 8100.00 ns, 8.1000 us/op
WorkloadResult  97: 1 op, 9500.00 ns, 9.5000 us/op
GC:  0 0 0 480 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 24152 has exited with code 0.

Mean = 9.186 μs, StdErr = 0.133 μs (1.45%), N = 97, StdDev = 1.308 μs
Min = 8.000 μs, Q1 = 8.100 μs, Median = 8.400 μs, Q3 = 10.200 μs, Max = 13.000 μs
IQR = 2.100 μs, LowerFence = 4.950 μs, UpperFence = 13.350 μs
ConfidenceInterval = [8.735 μs; 9.636 μs] (CI 99.9%), Margin = 0.451 μs (4.91% of Mean)
Skewness = 1.02, Kurtosis = 3, MValue = 2.67

// **************************
// Benchmark: Bench.NormalListAdd: Job-XYHAXN(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "375eec8e-86f4-4115-ae84-d39374e185ea.dll" --benchmarkName "MyLINQ.Bench.NormalListAdd" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 1 in C:\Users\bruno\OneDrive\Área de Trabalho\Desktop\MyLINQ\MyLINQ\bin\Release\net6.0\375eec8e-86f4-4115-ae84-d39374e185ea\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.8 (6.0.822.36306), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-DDJJWR(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 173100.00 ns, 173.1000 us/op
WorkloadJitting  1: 1 op, 919800.00 ns, 919.8000 us/op

OverheadWarmup   1: 1 op, 600.00 ns, 600.0000 ns/op
OverheadWarmup   2: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 400.00 ns, 400.0000 ns/op
OverheadWarmup   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   7: 1 op, 600.00 ns, 600.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   3: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  16: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 300.00 ns, 300.0000 ns/op

WorkloadWarmup   1: 1 op, 43200.00 ns, 43.2000 us/op
WorkloadWarmup   2: 1 op, 139300.00 ns, 139.3000 us/op
WorkloadWarmup   3: 1 op, 38600.00 ns, 38.6000 us/op
WorkloadWarmup   4: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadWarmup   5: 1 op, 79200.00 ns, 79.2000 us/op
WorkloadWarmup   6: 1 op, 55300.00 ns, 55.3000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 35800.00 ns, 35.8000 us/op
WorkloadActual   2: 1 op, 70300.00 ns, 70.3000 us/op
WorkloadActual   3: 1 op, 37100.00 ns, 37.1000 us/op
WorkloadActual   4: 1 op, 33700.00 ns, 33.7000 us/op
WorkloadActual   5: 1 op, 39800.00 ns, 39.8000 us/op
WorkloadActual   6: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadActual   7: 1 op, 39300.00 ns, 39.3000 us/op
WorkloadActual   8: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadActual   9: 1 op, 47200.00 ns, 47.2000 us/op
WorkloadActual  10: 1 op, 38200.00 ns, 38.2000 us/op
WorkloadActual  11: 1 op, 38100.00 ns, 38.1000 us/op
WorkloadActual  12: 1 op, 56500.00 ns, 56.5000 us/op
WorkloadActual  13: 1 op, 36400.00 ns, 36.4000 us/op
WorkloadActual  14: 1 op, 49000.00 ns, 49.0000 us/op
WorkloadActual  15: 1 op, 47500.00 ns, 47.5000 us/op
WorkloadActual  16: 1 op, 38100.00 ns, 38.1000 us/op
WorkloadActual  17: 1 op, 39000.00 ns, 39.0000 us/op
WorkloadActual  18: 1 op, 31700.00 ns, 31.7000 us/op
WorkloadActual  19: 1 op, 31300.00 ns, 31.3000 us/op
WorkloadActual  20: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadActual  21: 1 op, 35100.00 ns, 35.1000 us/op
WorkloadActual  22: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadActual  23: 1 op, 37500.00 ns, 37.5000 us/op
WorkloadActual  24: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadActual  25: 1 op, 30200.00 ns, 30.2000 us/op
WorkloadActual  26: 1 op, 33000.00 ns, 33.0000 us/op
WorkloadActual  27: 1 op, 31600.00 ns, 31.6000 us/op
WorkloadActual  28: 1 op, 31500.00 ns, 31.5000 us/op
WorkloadActual  29: 1 op, 33100.00 ns, 33.1000 us/op
WorkloadActual  30: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadActual  31: 1 op, 33000.00 ns, 33.0000 us/op
WorkloadActual  32: 1 op, 35300.00 ns, 35.3000 us/op
WorkloadActual  33: 1 op, 32200.00 ns, 32.2000 us/op
WorkloadActual  34: 1 op, 31100.00 ns, 31.1000 us/op
WorkloadActual  35: 1 op, 31900.00 ns, 31.9000 us/op
WorkloadActual  36: 1 op, 30500.00 ns, 30.5000 us/op
WorkloadActual  37: 1 op, 30500.00 ns, 30.5000 us/op
WorkloadActual  38: 1 op, 34000.00 ns, 34.0000 us/op
WorkloadActual  39: 1 op, 32500.00 ns, 32.5000 us/op
WorkloadActual  40: 1 op, 64100.00 ns, 64.1000 us/op
WorkloadActual  41: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadActual  42: 1 op, 43900.00 ns, 43.9000 us/op
WorkloadActual  43: 1 op, 45600.00 ns, 45.6000 us/op
WorkloadActual  44: 1 op, 36400.00 ns, 36.4000 us/op
WorkloadActual  45: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadActual  46: 1 op, 30100.00 ns, 30.1000 us/op
WorkloadActual  47: 1 op, 32300.00 ns, 32.3000 us/op
WorkloadActual  48: 1 op, 61000.00 ns, 61.0000 us/op
WorkloadActual  49: 1 op, 43300.00 ns, 43.3000 us/op
WorkloadActual  50: 1 op, 43100.00 ns, 43.1000 us/op
WorkloadActual  51: 1 op, 81900.00 ns, 81.9000 us/op
WorkloadActual  52: 1 op, 60800.00 ns, 60.8000 us/op
WorkloadActual  53: 1 op, 41900.00 ns, 41.9000 us/op
WorkloadActual  54: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadActual  55: 1 op, 32700.00 ns, 32.7000 us/op
WorkloadActual  56: 1 op, 39100.00 ns, 39.1000 us/op
WorkloadActual  57: 1 op, 37100.00 ns, 37.1000 us/op
WorkloadActual  58: 1 op, 38100.00 ns, 38.1000 us/op
WorkloadActual  59: 1 op, 38400.00 ns, 38.4000 us/op
WorkloadActual  60: 1 op, 38900.00 ns, 38.9000 us/op
WorkloadActual  61: 1 op, 33400.00 ns, 33.4000 us/op
